tag_id,canonical_name,has_definition_short,has_definition_long,has_any_definition,alias_count,examples_positive_count,examples_negative_count,has_any_examples,scope_includes_count,scope_excludes_count,has_any_scope,has_notes_2d,has_notes_3d,has_any_extraction_notes,relation_count
affect.cozy,Cozy,True,True,True,8,3,3,True,3,3,True,True,True,True,0
affect.jarring,Jarring,True,True,True,8,3,3,True,3,3,True,True,True,True,0
affect.scary,Scary,True,True,True,8,3,3,True,3,3,True,True,True,True,0
affect.tranquil,Tranquil,True,True,True,8,3,3,True,3,3,True,True,True,True,0
affect.welcoming,Welcoming,True,True,True,8,3,3,True,3,3,True,True,True,True,0
affordance.isovist_area,Isovist Area,True,True,True,8,3,3,True,3,3,True,True,True,True,0
affordance.seating_count,Seating Count,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.axial_circulation_clear,Axial Circulation Clear,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.bay_window,Bay Window,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.central_hearth,Central Hearth,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.circulation_maze_like,Circulation Maze Like,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.colonnade,Colonnade,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.corner_window,Corner Window,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.daylight_hard,Daylight Hard,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.daylight_soft,Daylight Soft,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.double_height_space,Double Height Space,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.gallery_edge,Gallery Edge,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.loft_mezzanine,Loft Mezzanine,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.long_view_corridor,Long View Corridor,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.perimeter_seating,Perimeter Seating,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.prospect_strong,Prospect Strong,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.refuge_nook,Refuge Nook,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.refuge_strong,Refuge Strong,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.skylight_dominant,Skylight Dominant,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.staircase_sculptural,Staircase Sculptural,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.threshold_emphasized,Threshold Emphasized,True,True,True,8,3,3,True,3,3,True,True,True,True,0
arch.pattern.window_seat_niche,Window Seat Niche,True,True,True,8,3,3,True,3,3,True,True,True,True,0
biophilia.plant_count,Plant Count,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.biophilic.natural_material_ratio,Natural Material Ratio,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.cognitive.activity_zones_count,Activity Zones Count,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.cognitive.landmark_salience,Landmark Salience,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.cognitive.legibility_score,Legibility Score,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.depth.depth_variance,Depth Variance,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.depth.mean_depth,Mean Depth,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.dynamic.optic_flow_magnitude,Optic Flow Magnitude,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.dynamic.path_glare_max,Path Glare Max,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.dynamic.reflection_flow,Reflection Flow,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.dynamic.revelation_rate,Revelation Rate,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.dynamic.texture_gradient,Texture Gradient,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.anomaly_count,Anomaly Count,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.autoencoder_recon_error,Autoencoder Recon Error,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.clutter_density_count,Clutter Density Count,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.color_palette_entropy,Color Palette Entropy,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.compression_ratio,Compression Ratio,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.edge_clarity_mean,Edge Clarity Mean,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.figure_ground_clarity,Figure Ground Clarity,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.hierarchy_depth,Hierarchy Depth,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.map.edge_density,Edge Density,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.map.fractal_dimension,Fractal Dimension,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.map.spatial_entropy,Spatial Entropy,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.map.symmetry,Symmetry,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.pattern_rhythm_regularity,Pattern Rhythm Regularity,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.processing_load_proxy,Processing Load Proxy,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.surprisal_mean,Surprisal Mean,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.symmetry_score_horizontal,Symmetry Score Horizontal,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.visual_entropy_spatial,Visual Entropy Spatial,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fluency.zoning_clarity,Zoning Clarity,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fractal.lacunarity,Lacunarity,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fractal.multifractal_width,Multifractal Width,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fractal.spectral_slope_1overf,Spectral Slope 1Overf,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fractal_dimension,Fractal Dimension,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fractal_dimension_edges,Fractal Dimension Edges,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.fractal_dimension_luminance,Fractal Dimension Luminance,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.geometry.curvature_index,Curvature Index,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.geometry.fractal_curve_intersection,Fractal Curve Intersection,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.geometry.rectilinearity_index,Rectilinearity Index,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.haptic.soft_surface_ratio,Soft Surface Ratio,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.haptic.texture_variation_index,Texture Variation Index,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.layout.opening_ratio,Opening Ratio,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.light.brightness_variance,Brightness Variance,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.light.diffuse_vs_direct_ratio,Diffuse Vs Direct Ratio,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.light.vertical_illuminance_proxy,Vertical Illuminance Proxy,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.light.warm_vs_cool_ratio,Warm Vs Cool Ratio,True,True,True,8,3,3,True,3,3,True,True,True,True,0
cnfa.spatial.ceiling_height_avg,Ceiling Height Avg,True,True,True,8,3,3,True,3,3,True,True,True,True,0
